business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,categories
Rad7bl6MFOEemh41CdREMQ,Isla Vista Community Bike Center,6584 Madrid Rd,Isla Vista,CA,93117,34.41268,-119.85755,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,2733 De La Vina St,Santa Barbara,CA,93105,34.43624,-119.72615,4,64,1,NA,TRUE,NA,2,NA,TRUE,TRUE,NA,NA,{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False},NA,NA,FALSE,TRUE,FALSE,NA,u'none',TRUE,'casual',{'touristy': None, 'hipster': False, 'romantic': None, 'divey': None, 'intimate': False, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True},NA,TRUE,NA,'average',{'dessert': False, 'latenight': None, 'lunch': None, 'dinner': True
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,"7320 Hollister Ave, Ste 1",Goleta,CA,93117,34.43054,-119.88237,4,189,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,TRUE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,u'beer_and_wine',TRUE,'casual',{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False},TRUE,TRUE,FALSE,u'average',{u'breakfast': None, u'brunch': False, u'lunch': True, u'dinner': True
4pS7qnjJ7_DCoJB-Enl7KA,Prop and Decor Outlet: The Tent Merchant Inc.,930 State St,Santa Barbara,CA,93101,34.42145,-119.70145,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shopping, Home & Garden, Home Decor, Props"
X7FQ5k29A_RRYep7TOfjtw,"Dawna Ara, DACM, LAc","23 Hitchcock Way, Ste 110",Santa Barbara,CA,93105,34.4393,-119.74431,5,54,1,TRUE,TRUE,NA,2,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,903 Embarcadero Del Norte,Isla Vista,CA,93117,34.41293,-119.85553,3,184,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,u'no',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,TRUE,TRUE,FALSE,NA,u'none',TRUE,u'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False
VEbHYioBfoPiIOWntE_DBA,Tienda Ho,1105 State St,Santa Barbara,CA,93101,34.42232,-119.70367,4.5,34,0,NA,TRUE,TRUE,3,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,270 Storke Rd,Goleta,CA,93117,34.42904,-119.86936,2.5,94,1,NA,TRUE,TRUE,2,NA,TRUE,TRUE,FALSE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,FALSE,TRUE,TRUE,FALSE,u'beer_and_wine',TRUE,'casual',{u'divey': False, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False},NA,TRUE,NA,u'average',{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True
82suwumWp1MEq04QhiS9DQ,Surreal Virtual Reality Studio,"436 State St, Ste B",Santa Barbara,CA,93101,34.41678,-119.69514,5,30,0,NA,NA,NA,NA,NA,NA,NA,NA,u'free',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recreation Centers, Arts & Entertainment, Virtual Reality Centers, Active Life"
uHprVoxTV7CwKJdaEEf3aA,Challenge Asphalt Paving,118 Nopalitos Way,Santa Barbara,CA,93103,34.41906,-119.67839,4,18,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masonry/Concrete, Contractors, Home Services"
#NAME?,Dune Coffee Roasters - Anacapa,528 Anacapa St,Santa Barbara,CA,93101,34.41899,-119.69507,4,320,1,NA,TRUE,TRUE,2,NA,TRUE,NA,FALSE,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,509 Linden Ave,Carpinteria,CA,93013,34.39651,-119.52168,4.5,460,1,FALSE,TRUE,TRUE,2,NA,TRUE,TRUE,FALSE,u'no',{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,TRUE,TRUE,TRUE,NA,u'beer_and_wine',TRUE,'casual',{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': False},TRUE,TRUE,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True
6jomGWEI4ryImrWPguUQQQ,Santa Barbara Athletic Club,520 Castillo St,Santa Barbara,CA,93101,34.41338,-119.70034,3,55,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ed7RUOj9MTUf9U-Y73bYlw,Run Montecito-Summerland,,Montecito,CA,93108,34.43666,-119.63208,2.5,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VeIrgRMOK_0ZToziUd2kUA,Franceschi Park,1510 Mission Ridge Rd,Santa Barbara,CA,93103,34.43993,-119.69391,4.5,26,1,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BkmVHg6HjHWMc0OFxcd6VQ,Hair By Audrey Johnson,,Santa Barbara,CA,93108,34.43814,-119.61514,5,5,1,TRUE,TRUE,NA,3,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jb1MlURq6ItKZ244tyoirA,Jessie Sessions - Berkshire Hathaway Santa Barbara,3868 State St,Santa Barbara,CA,93105,34.4408,-119.74944,5,19,1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Estate Agents, Home Services, Real Estate, Real Estate Services"
B5XSoSG3SfvQGtKEGQ1tSQ,Los Padres National Forest,San Marcos Pass Rd,Santa Barbara,CA,93105,34.59724,-119.51077,4.5,13,1,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vLT1KtrA9bWvjFOg-0xVIg,Pieology Pizzeria,"7000 Hollister Ave, Ste F",Goleta,CA,93117,34.43045,-119.87234,3.5,131,0,NA,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,TRUE,TRUE,FALSE,NA,u'beer_and_wine',TRUE,'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True},FALSE,TRUE,NA,u'quiet',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True
#NAME?,Lama Dog Tap Room,116 Santa Barbara St,Santa Barbara,CA,93101,34.41575,-119.68848,4,238,1,FALSE,TRUE,TRUE,2,FALSE,TRUE,TRUE,FALSE,'free',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,'beer_and_wine',NA,NA,{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True},NA,TRUE,NA,'loud',NA,NA,u'no',{}
wYROX7rw9fkQrWUS2YyY9g,Will Nelson Fitness,"324 State St, Ste C",Santa Barbara,CA,93101,34.41573,-119.69366,5,7,1,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
BMTtMWDR3zcR5T30GFDoXQ,CA Pro Home Inspection,"3463 State St, Ste 139",Santa Barbara,CA,93105,34.44028,-119.74422,5,5,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Estate, Home Services, Home Inspectors, Handyman, Real Estate Services"
kHOXo-IZSpixpctmHsGlyA,The Beach Grill at Padaro,3765 Santa Claus Ln,Carpinteria,CA,93013,34.40686,-119.54855,4,16,0,NA,TRUE,NA,2,NA,TRUE,TRUE,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,TRUE,NA,FALSE,NA,'beer_and_wine',TRUE,'casual',NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dFEyk7Si7R-CHCMbxx3oJg,A-1 Auto Repair,1 S Milpas St,Santa Barbara,CA,93103,34.4217,-119.67855,5,21,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automotive, Auto Repair"
UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,"1213 State St, Ste L",Santa Barbara,CA,93101,34.4233,-119.70547,4.5,116,1,NA,TRUE,TRUE,1,NA,FALSE,NA,FALSE,u'free',{'garage': None, 'street': True, 'validated': False, 'lot': None, 'valet': False},TRUE,NA,FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,NA,NA,u'quiet',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rQQPHtz05Y4hnDxY6kljFw,Unique Tan,11 W Carrillo St,Santa Barbara,CA,93101,34.42104,-119.70218,3,10,0,FALSE,TRUE,TRUE,2,NA,NA,NA,NA,NA,{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hqz96v1ymucUKNzIWfEKXw,Subway,"1936 State St, Ste B",Santa Barbara,CA,93101,34.43082,-119.71416,3,5,0,NA,TRUE,TRUE,1,NA,TRUE,FALSE,TRUE,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,TRUE,TRUE,FALSE,NA,u'none',TRUE,'casual',NA,FALSE,TRUE,NA,NA,{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA
JWFpjvCc_nkNDVtMPx1ZGg,Bogo SB,1114 State St,Santa Barbara,CA,93101,34.42304,-119.70329,4.5,12,1,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,u'free',NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Food, Food Delivery Services, Burgers, Pizza, Caterers, Event Planning & Services, Restaurants"
JbFsyY7pi85oaY4DoAgwCA,Cat Doctors,"1333 De La Vina St, Ste G",Santa Barbara,CA,93101,34.42271,-119.70927,4.5,29,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Veterinarians, Pets, Pet Services"
TteUG63xhW8ORWNzQ1i_1w,Gap,615 Paseo Nuevo,Santa Barbara,CA,93101,34.41932,-119.7,2,10,1,NA,TRUE,TRUE,3,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sCkN50fE_Pe9gwSnwVwiJA,The UPS Store,27 West Anapamu St,Santa Barbara,CA,93101,34.42256,-119.70514,3.5,37,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notaries, Mailbox Centers, Printing Services, Shipping Centers, Local Services"
PhG-1jmDaWxPMAQzjXg_Sw,Nancys Cleaning Services Of Santa Barbara,"922 State St, Ste A7",Santa Barbara,CA,93101,34.42125,-119.7012,3.5,34,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Window Washing, Home Services, Professional Services, Office Cleaning, Home Cleaning, Local Services, Carpet Cleaning"
7qaewBVVl0lOfZPTvtR53w,Star Nails,"5801 Calle Real, Ste F",Goleta,CA,93117,34.44061,-119.82628,4,134,1,FALSE,TRUE,TRUE,2,NA,NA,NA,NA,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HdWXWU6CZueBZsf1oKNBcQ,The Adult Store,405 State St,Santa Barbara,CA,93101,34.41587,-119.69452,4,32,1,FALSE,TRUE,TRUE,2,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,FALSE,TRUE,NA,TRUE,u'none',NA,NA,{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},NA,FALSE,NA,u'very_loud',NA,NA,NA,NA
HVtsnFYAHqqPhJ1-rlWPFQ,Hahka Kitchens,72 Santa Felicia Dr,Goleta,CA,93117,34.43187,-119.8756,4,6,1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shopping, Home Services, Kitchen & Bath, Windows Installation, Home & Garden, Cabinetry, Interior Design, Contractors"
TZ-bgvsk189WywTLFrqfTQ,Ascending Health Juicery,34 E Sola St,Santa Barbara,CA,93101,34.42604,-119.70578,4.5,7,1,FALSE,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Health & Medical, Juice Bars & Smoothies"
0E9eF5Oh-kd4xCcCs4CX6g,Corazza Mark S MD,2431 Castillo St,Santa Barbara,CA,93105,34.43106,-119.72543,2.5,14,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neurologist, Doctors, Health & Medical"
GCU4EGXALp7A-dut7vjTMQ,Upholstery Decor,5788 Hollister Ave,Goleta,CA,93117,34.43599,-119.82631,4,24,1,FALSE,TRUE,TRUE,3,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9L-MR0arflwFMF9szEBOOg,California Wine Festival,,Santa Barbara,CA,93101,34.41447,-119.68519,4.5,7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,u'no',NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wineries, Food, Restaurants, Arts & Entertainment, Festivals, Food Stands"
uFF40n9pOqHK1ciajdoSEw,Tony's Restaurant,699 Linden Ave,Carpinteria,CA,93013,34.39699,-119.52103,3,72,0,NA,TRUE,FALSE,2,NA,TRUE,TRUE,FALSE,u'no',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,TRUE,FALSE,TRUE,NA,u'beer_and_wine',TRUE,'casual',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,NA,u'average',NA,NA,NA,NA
_L0DNfnS5VFGv-V1WcMdmA,Hugo's Auto Detailing,1298 Coast Village Rd,Santa Barbara,CA,93108,34.42191,-119.64024,5,15,1,NA,TRUE,NA,NA,NA,NA,NA,NA,u'no',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automotive, Auto Glass Services, Car Wash, Auto Detailing"
aYMpjij5ShtEoZueMrQPRw,The Mill,406 E Haley St,Santa Barbara,CA,93101,34.42112,-119.69063,4,5,1,FALSE,TRUE,TRUE,2,NA,None,None,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PaqDZUu76fZtMvcYqCEBig,Rincon Brewery,205 Santa Barbara St,Santa Barbara,CA,93101,34.41618,-119.68978,4,32,1,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
