"","RestaurantsPriceRange2","BikeParking","RestaurantsTakeOut","WiFi","RestaurantsDelivery","GoodForKids","OutdoorSeating","HasTV","RestaurantsReservations","RestaurantsGoodForGroups","Caters","WheelchairAccessible","RestaurantsTableService","DogsAllowed","HappyHour","DriveThru","BYOB","BYOBCorkage","is_open"
"21",1,"True","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",0
"22",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"23",2,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"24",1,"False","True","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False",1
"25",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"26",2,"True","True","False","False","True","False","False","True","True","True","False","False","False","False","False","False","False",0
"27",0,"False","True","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False",1
"28",1,"True","True","free","True","True","False","True","True","True","True","False","False","False","False","False","False","False",1
"29",1,"True","True","False","False","True","False","True","False","False","False","False","True","False","False","False","False","False",1
"30",1,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"31",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"32",1,"False","True","free","True","False","False","False","False","False","True","False","False","False","False","False","False","False",1
"33",2,"True","True","False","True","False","True","True","False","False","False","False","False","False","False","False","False","False",1
"34",1,"False","True","free","True","True","False","True","True","True","False","True","False","False","False","False","False","False",1
"35",1,"True","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"36",2,"True","False","False","False","True","False","True","True","True","True","False","True","False","False","False","False","False",1
"37",2,"True","True","free","True","True","True","True","False","True","True","True","True","True","True","False","False","False",1
"38",1,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"39",2,"False","True","False","True","True","False","True","False","True","True","False","False","False","False","True","False","False",1
"40",0,"False","True","False","True","False","False","True","False","False","True","False","False","False","False","True","False","False",1
"41",2,"False","True","free","True","True","True","True","False","True","False","False","True","False","True","False","False","False",1
"42",1,"True","True","False","True","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"43",2,"True","True","False","True","True","False","True","False","False","False","False","True","False","False","False","False","False",1
"44",1,"False","True","False","True","True","True","False","False","True","False","False","False","False","False","False","False","False",1
"45",1,"True","True","False","True","True","False","True","False","True","True","True","False","False","False","False","False","False",0
"46",1,"False","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"47",3,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"48",2,"True","True","free","True","False","False","True","True","False","True","True","True","False","False","False","False","False",1
"49",1,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"50",0,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"51",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"52",2,"True","True","free","False","True","False","False","True","True","True","False","True","False","False","False","False","yes_free",0
"53",1,"True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False",1
"54",4,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"55",1,"False","True","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False",0
"56",1,"True","True","False","True","True","False","True","False","True","True","False","False","False","False","False","False","False",1
"57",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"58",2,"True","True","False","False","True","False","True","True","True","False","True","True","False","False","False","False","False",0
"59",2,"False","True","False","True","True","False","True","False","True","True","False","True","False","False","False","False","False",1
"60",1,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"61",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"62",1,"False","True","False","True","True","False","True","True","True","True","False","False","False","False","False","False","False",1
"63",1,"True","True","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False",1
"64",1,"True","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"65",1,"False","True","False","False","True","False","True","False","True","False","True","False","True","False","False","False","False",1
"66",2,"False","True","False","True","True","False","True","True","True","False","False","False","False","False","False","False","False",0
"67",0,"False","True","free","True","False","False","False","False","False","True","True","False","False","False","False","False","False",1
"68",1,"True","True","False","True","True","True","True","False","True","True","False","False","False","False","True","False","False",1
"69",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"70",2,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",0
"71",2,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"72",2,"True","True","False","False","True","False","True","False","True","True","False","False","False","False","False","False","False",1
"73",2,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"74",2,"True","True","False","True","True","False","True","False","True","True","False","True","False","False","False","False","False",1
"75",1,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"76",2,"False","True","False","True","True","True","True","False","True","False","False","False","False","False","False","False","False",1
"77",1,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"78",1,"True","True","free","True","True","False","True","False","True","True","False","False","False","False","False","False","False",1
"79",0,"False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"80",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"81",1,"True","True","free","True","True","False","False","False","False","False","False","False","False","False","False","False","False",0
"82",2,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"83",1,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"84",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"85",1,"True","True","free","True","True","False","False","True","False","True","True","False","True","False","False","False","False",1
"86",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"87",0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"88",0,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"89",2,"False","True","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False",1
"90",2,"True","True","free","False","True","False","True","True","True","False","True","True","False","False","False","False","False",1
"91",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"92",1,"False","True","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False",1
"93",1,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"94",1,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"95",0,"False","True","free","True","False","False","True","False","False","False","True","False","False","False","False","False","False",0
"96",1,"False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"97",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"98",0,"False","True","free","True","False","True","True","True","False","True","False","True","False","True","False","False","False",1
"99",0,"True","True","False","True","False","False","False","False","False","False","False","True","False","False","False","False","False",1
"100",1,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"101",1,"False","True","False","True","True","False","True","True","False","False","False","False","False","False","False","False","False",1
"102",2,"False","True","free","False","True","False","False","True","True","True","False","True","False","True","False","False","False",1
"103",1,"True","True","False","False","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"104",1,"True","True","False","False","True","False","False","True","True","False","False","True","False","False","False","False","False",0
"105",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"106",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"107",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"108",2,"False","True","free","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"109",2,"True","True","free","False","True","True","False","True","True","True","True","True","False","False","True","False","False",1
"110",1,"False","True","free","True","True","False","True","False","True","True","False","False","False","False","True","False","False",1
"111",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"112",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"113",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"114",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"115",0,"False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False",1
"116",2,"False","True","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False",0
"117",1,"False","True","free","True","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"118",2,"False","True","False","False","True","False","True","False","True","True","False","False","False","False","False","False","False",1
"119",2,"True","True","False","True","True","False","False","True","True","False","True","True","False","False","False","False","False",0
"120",1,"True","True","False","False","True","False","True","False","True","True","False","True","False","False","False","False","False",1
"121",2,"False","True","False","True","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"122",1,"False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"123",2,"False","True","False","True","True","False","True","False","True","False","False","True","False","False","False","False","False",1
"124",1,"False","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"125",0,"False","True","False","True","False","False","False","True","False","True","True","False","False","False","False","False","False",1
"126",1,"True","True","free","False","True","False","False","True","False","False","False","False","False","False","False","False","False",1
"127",1,"True","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"128",1,"True","True","False","True","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"129",1,"False","True","free","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"130",2,"True","True","False","True","True","False","True","False","True","True","False","True","False","False","False","False","False",1
"131",1,"False","False","free","True","True","False","True","False","False","False","False","False","False","False","True","False","False",1
"132",2,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"133",2,"True","True","free","True","True","False","True","True","True","True","True","True","False","True","False","False","False",1
"134",1,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",0
"135",1,"False","True","False","True","True","False","False","True","False","False","True","False","False","False","False","False","False",1
"136",1,"True","True","False","True","True","True","False","False","True","True","True","True","False","False","False","False","False",1
"137",0,"False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"138",0,"False","True","False","True","False","False","False","False","False","True","False","False","False","False","True","False","False",1
"139",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"140",2,"False","True","False","True","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"141",0,"False","True","False","True","False","False","False","False","False","True","True","False","False","False","False","False","False",1
"142",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"143",1,"True","True","False","True","True","False","True","False","True","True","False","False","False","False","False","False","False",1
"144",2,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"145",1,"True","True","False","True","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"146",1,"False","True","False","True","True","False","False","False","True","True","False","False","False","False","False","False","False",1
"147",2,"False","True","free","True","True","False","False","True","True","True","True","True","False","False","False","False","False",1
"148",2,"True","True","free","False","True","True","True","True","True","False","False","False","False","True","False","False","False",0
"149",1,"False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"150",0,"False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"151",1,"True","True","free","False","True","False","True","True","False","False","False","False","False","False","False","False","False",1
"152",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"153",1,"True","True","False","True","False","False","True","True","False","False","True","False","False","True","False","False","False",1
"154",0,"False","True","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False",1
"155",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"156",2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"157",2,"True","True","False","True","True","False","True","True","True","True","False","False","False","False","False","False","False",1
"158",2,"True","True","False","True","True","False","False","True","True","False","False","False","False","False","False","False","False",0
"159",2,"True","True","False","True","True","True","True","True","True","False","False","False","False","False","False","False","False",1
"160",1,"False","True","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False",1
"161",1,"True","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"162",1,"False","True","False","False","True","False","True","False","True","False","False","True","False","False","False","False","False",1
"163",2,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"164",2,"True","True","False","False","True","False","True","False","True","False","False","True","False","False","False","False","False",1
"165",1,"True","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"166",1,"True","True","free","False","True","True","False","False","True","True","True","True","False","False","False","False","False",1
"167",2,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"168",2,"True","True","free","False","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"169",2,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"170",2,"True","True","False","False","True","False","True","False","True","False","False","True","False","False","False","False","False",1
"171",2,"False","True","False","False","True","False","True","True","True","False","False","False","False","False","False","False","False",0
"172",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"173",1,"False","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"174",2,"False","True","False","True","True","False","True","True","False","False","False","False","False","True","False","False","False",1
"175",2,"True","True","False","False","True","False","True","True","True","False","True","True","False","False","False","False","False",0
"176",1,"False","True","False","True","True","False","False","False","True","False","False","True","False","False","False","False","False",0
"177",1,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"178",1,"False","False","free","False","True","False","False","False","True","False","False","False","False","False","False","False","False",0
"179",1,"False","True","False","True","True","False","True","False","False","False","False","True","False","False","False","False","False",1
"180",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"181",2,"True","True","free","False","True","False","False","True","True","False","False","False","False","True","False","False","False",0
"182",1,"False","True","free","True","True","False","True","False","True","True","False","False","False","False","True","False","False",1
"183",2,"True","True","False","False","True","False","True","True","True","True","False","True","False","True","False","False","yes_free",1
"184",1,"True","True","free","False","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"185",1,"True","True","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False",1
"186",1,"True","True","False","True","True","False","True","False","True","True","False","True","False","False","False","False","False",1
"187",1,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"188",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"189",0,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"190",1,"True","True","False","True","True","False","True","False","True","False","False","None","False","False","False","False","False",1
"191",1,"False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"192",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"193",1,"True","True","False","False","True","True","False","False","True","False","False","False","False","False","False","False","False",0
"194",1,"True","True","free","False","True","False","True","True","True","True","False","False","False","False","False","False","False",0
"195",2,"False","True","False","False","True","False","True","True","True","False","False","True","False","False","False","False","False",1
"196",1,"True","True","False","True","True","False","False","False","True","False","True","False","False","False","False","False","False",0
"197",0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"198",0,"False","True","False","True","False","False","False","True","False","True","False","False","False","False","False","False","False",1
"199",2,"False","True","free","True","False","True","False","False","True","True","True","False","False","True","False","False","False",1
"200",2,"True","True","False","True","True","False","True","False","False","True","True","True","False","False","False","False","False",1
"201",0,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"202",1,"True","True","False","False","True","False","True","False","True","False","True","True","False","False","False","False","False",0
"203",1,"False","True","False","False","True","True","True","False","True","False","True","True","False","False","False","False","False",0
"204",0,"False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"205",1,"True","True","free","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"206",1,"True","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"207",1,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"208",2,"True","True","free","True","True","False","False","True","True","True","True","True","False","False","False","False","False",0
"209",0,"False","True","free","False","True","False","False","True","False","True","False","True","False","False","False","False","False",1
"210",0,"False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False",1
"211",2,"True","True","False","True","True","False","True","False","True","False","True","False","False","False","False","False","False",1
"212",1,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"213",2,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"214",2,"True","True","False","True","True","False","False","True","True","False","True","True","False","False","False","False","False",0
"215",1,"True","True","False","True","True","False","False","False","True","True","False","False","False","False","False","False","False",0
"216",2,"True","True","False","True","True","False","True","True","True","True","False","False","False","False","False","False","False",1
"217",2,"True","True","False","True","True","False","True","True","True","True","True","True","True","False","False","False","False",1
"218",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"219",1,"True","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"220",1,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"221",0,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"222",1,"True","True","False","False","True","False","True","False","False","False","True","True","True","False","False","False","False",1
"223",1,"False","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"224",1,"True","True","free","True","True","False","False","False","True","True","False","False","False","False","False","False","False",1
"225",2,"True","False","free","True","True","False","False","True","True","False","True","True","False","False","False","True","False",1
"226",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"227",2,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"228",1,"False","True","False","True","True","False","True","True","False","True","True","False","False","False","False","False","False",1
"229",2,"True","True","False","False","True","False","True","False","True","True","False","True","False","False","False","False","False",0
"230",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"231",1,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"232",1,"True","True","free","False","True","False","True","False","True","True","False","True","False","False","False","False","False",0
"233",0,"True","True","free","True","False","True","True","False","False","False","True","False","False","False","False","False","False",1
"234",1,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","True","False","False",0
"235",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"236",2,"False","True","False","False","True","False","True","True","True","False","False","False","False","False","False","False","False",0
"237",1,"False","True","free","True","True","False","False","True","True","False","True","False","False","False","False","False","False",1
"238",1,"True","True","False","True","True","False","True","False","True","False","True","False","False","False","False","False","False",1
"239",1,"False","True","False","True","False","False","False","False","False","True","False","False","False","False","True","False","False",1
"240",2,"True","True","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False",1
"241",1,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"242",2,"False","False","free","False","True","False","True","False","True","False","True","True","False","False","False","False","False",1
"243",2,"True","True","free","True","True","False","True","False","True","False","False","True","False","False","False","False","False",1
"244",2,"False","True","paid","True","True","False","True","False","True","True","False","False","False","False","False","False","False",0
"245",1,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"246",0,"False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False",1
"247",0,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"248",2,"True","True","False","True","True","False","False","True","True","True","False","False","False","False","False","False","False",1
"249",2,"True","True","False","False","True","True","False","False","True","True","False","False","False","False","False","False","False",0
"250",0,"False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"251",1,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"252",0,"False","True","free","True","False","False","True","True","False","False","False","True","False","False","False","False","False",1
"253",1,"False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"254",2,"True","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"255",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"256",1,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"257",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"258",2,"True","True","False","False","True","False","True","False","True","False","False","True","False","False","False","False","False",0
"259",2,"False","True","free","True","True","True","False","False","True","True","False","False","False","False","False","False","False",0
"260",0,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"261",2,"False","True","False","False","True","False","False","False","True","False","False","True","False","False","False","False","False",0
"262",2,"True","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"263",1,"False","True","False","True","True","False","False","False","False","True","False","False","False","False","False","False","False",1
"264",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"265",0,"False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False",1
"266",2,"False","True","free","False","True","False","True","True","True","True","False","False","False","False","False","False","False",0
"267",1,"True","True","False","True","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"268",1,"True","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",0
"269",1,"True","True","False","False","True","False","True","False","False","False","False","True","False","False","False","False","False",1
"270",1,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"271",0,"False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False",1
"272",1,"False","True","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False",0
"273",1,"False","True","False","False","True","False","True","True","False","False","False","False","False","False","False","False","False",1
"274",1,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"275",1,"False","True","False","True","True","False","True","False","True","False","False","True","False","False","False","False","False",1
"276",0,"False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False",0
"277",1,"False","True","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False",0
"278",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"279",1,"True","True","False","True","True","False","False","True","True","False","True","False","False","False","False","False","False",1
"280",1,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",0
"281",1,"False","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"282",1,"False","True","False","False","True","False","True","True","True","False","False","False","False","False","False","False","False",1
"283",1,"True","True","free","True","False","True","True","False","True","True","True","False","True","False","False","False","False",0
"284",2,"True","False","free","True","True","True","False","True","True","True","True","True","False","False","False","False","False",1
"285",2,"True","True","False","True","True","False","True","True","True","True","False","True","False","False","False","False","False",1
"286",0,"False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"287",2,"True","True","False","True","True","False","True","True","True","True","True","True","True","False","False","False","False",1
"288",1,"False","True","False","True","False","False","True","False","False","True","False","False","False","False","False","True","False",1
"289",0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",0
"290",1,"True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"291",2,"True","True","False","False","True","False","True","True","True","True","False","True","False","False","False","False","False",1
"292",0,"False","True","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False",1
"293",1,"False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",0
"294",1,"False","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"295",2,"True","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False",1
"296",0,"True","True","free","True","False","False","True","True","False","True","True","True","False","True","False","False","False",0
"297",2,"True","True","False","False","True","False","True","True","True","False","False","False","False","False","False","False","False",0
"298",1,"False","True","free","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"299",2,"True","True","free","False","True","True","True","True","True","True","True","True","False","False","False","False","False",1
"300",2,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"301",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"302",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"303",2,"True","True","free","True","True","True","True","False","True","False","False","False","False","True","False","False","False",0
"304",1,"True","True","False","True","True","True","False","False","True","False","False","False","False","False","False","False","False",0
"305",2,"False","True","free","False","True","False","True","False","True","False","True","False","False","True","False","False","False",1
"306",1,"True","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"307",1,"True","True","False","False","True","False","True","True","True","False","False","False","False","False","False","False","False",0
"308",1,"False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False",1
"309",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"310",1,"False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False",1
"311",0,"True","True","False","True","False","False","True","False","False","True","True","False","False","False","False","False","False",1
"312",1,"True","True","False","False","True","False","True","False","False","True","False","False","False","False","False","False","False",1
"313",2,"True","True","False","True","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"314",1,"False","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",1
"315",1,"True","True","free","True","True","True","True","False","True","True","False","False","False","False","True","False","False",1
"316",2,"True","True","free","True","True","True","True","True","True","True","False","True","False","False","False","False","False",1
"317",1,"True","True","False","False","True","False","False","False","True","True","True","False","False","False","False","False","False",1
"318",0,"False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",0
"319",0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",0
"320",2,"False","True","free","False","True","False","True","False","True","False","False","True","False","False","False","False","False",1
"321",2,"True","True","False","True","True","False","False","True","True","True","True","False","False","False","False","False","False",1
"322",2,"False","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False",1
"323",2,"True","True","False","False","True","False","True","False","True","False","False","False","False","False","False","False","False",0
"324",1,"True","True","False","True","True","False","True","False","False","False","False","False","False","False","False","False","False",1
"325",1,"True","True","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False",1
