"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.WiFi","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.Alcohol","attributes.GoodForKids","attributes.RestaurantsGoodForGroups"
"364","SZgkdhd837HkbtVFVmSMXw","Guido's Italian Restaurant","7219 Forest Oaks Blvd","Spring Hill","FL","34606","28.49185"," -82.59739","3.5"," 128","1","u'no'"," 'street': False","False","True","True","True"
"378","sVWUxesVKseXGq78UwwajA","Steak ’n Shake","9116 US Highway 19 N","Port Richey","FL","34668","28.28999"," -82.71123","2.5","  45","1","u'free'"," 'street': False","True","False","False","True"
"401","o6jfwLREaGy1mwAEybjOkg","Stefano Greek Italian Restaurant","8600 N 56th St","Tampa","FL","33617","28.02802"," -82.39383","4.0"," 106","1","'no'"," 'street': False","False","False","True","True"
"427","","","","","","","","","","","","","","","","",""
"429","","","","","","","","","","","","","","","","",""
"431","ZpXZgnBrNodHH8pKpOK_Kg","Jesse's Steak and Seafood","524 W Brandon Blvd","Brandon","FL","33511","27.93814"," -82.29207","4.0"," 267","1","u'no'"," 'street': False","True","False","True","True"
"437","xCbhjDqmrCrP1qK4DADu8g","Kul's Bar & Grill","13575 58th St N","Clearwater","FL","33760","27.89527"," -82.71154","3.0","   6","0","u'free'","True","False","u'full_bar'","True"," 'classy': False"
"445","J1pqZt0WWCL8cOt0eixBEw","Alvarez  Authentic Latin Food","7715 Land O' Lakes Blvd","Land O' Lakes","FL","34638","28.26997"," -82.48087","4.5","  51","1","'no'"," 'street': False","False","True","True","True"
"453","qt1o4H9O9lBwqf3K7GGFag","Jungle Bills Tiki Grill","2950 Gulf To Bay Blvd","Clearwater","FL","33759","27.96120"," -82.71470","4.5","  15","0","u'free'"," 'street': False","True","True","True","True"
"454","11:0-2:0","11:0-2:0","11:0-2:0","12:0-2:0","12:0-22:0","","","","","","","","","","","",""
"456","TghRoAMx43V-9l7mH-SENg","Crabby Bills Clearwater Beach","37 Causeway Blvd","Clearwater Beach","FL","33767","27.97708"," -82.82775","3.5"," 408","0","u'no'"," 'street': True","True","True","True","True"
"461","15:0-3:0","15:0-3:0","15:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","","","","","","","","","","",""
"508","k4gi0CDSas1glukpWHtoFg","The Flying Bridge","5500 Gulf Blvd","St. Pete Beach","FL","33706","27.73050"," -82.74498","3.5","  62","1","'free'"," 'street': False","True","True","True","True"
"509","","","","","","","","","","","","","","","","",""
"517","-zsvmEbkd-K9K2DAAKqiEQ","Salty's Island Bar & Grille","437 S Gulfview Blvd","Clearwater Beach","FL","33767","27.96976"," -82.82934","4.0"," 599","1","'free'"," 'street': True","True","True","True","True"
"533","g-0-_hPz-yr_f4gBFbX2Ow","Kim's Cuban Sandwich Shop","11911 E Martin Luther King Blvd","Seffner","FL","33584","27.98118"," -82.29767","4.0","  39","1","u'free'"," 'street': False","False","True","True","True"
"544","11:0-21:0","12:0-21:0","12:0-21:0","12:0-22:0","12:0-22:0","12:0-20:0","","","","","","","","","","",""
"548","oqP1oQEycpp4J6u5YebRoQ","American Social","601 S Harbour Island Blvd, Ste 107","Tampa","FL","33602","27.93871"," -82.45475","3.5"," 768","1","'free'"," 'street': False","True","True","True","False"
"553","0l0R_1x2RC8pEwP-OG6UxA","Roberts Meats And Catering","3435 S West Shore Blvd","TAMPA","FL","33629","27.91187"," -82.52705","3.5","  72","0","u'free'"," 'street': False","False","False","True","True"
"565","iF_92LcvfJfrtwjHWhVb-Q","4th Street Pizza","3187 4th St N","St. Petersburg","FL","33704","27.80145"," -82.63781","3.0","  67","1","u'no'"," 'street': False","False","False","False","True"
"579","encfXG_jrG1M6gX1IqrHrw","Ballyhoo Grill","7604 Ehrlich Rd","Tampa","FL","33625","28.07824"," -82.56989","3.5"," 262","0","u'free'"," 'street': False","True","True","True","True"
"626","y3iKFTk_sgIXCT6fNcBn_Q","Chili's","2794 E Fowler Ave","Tampa","FL","33612","28.05503"," -82.42805","2.0"," 114","1","'free'"," 'street': False","True","False","True","True"
"658","YlEBQLfRHocJDn4gRlgczw","Brick City Eatery","16540 Pointe Village Dr, Ste 108","Lutz","FL","33558","28.18937"," -82.54093","4.0"," 114","1","u'free'"," 'street': True","True","False","True","True"
"668","","","","","","","","","","","","","","","","",""
"673","3OGzmGqWwsyGLkhnxrA9Pw","Gourmet Pizza Company","610 S Armenia Ave, Ste 101","Tampa","FL","33609","27.93795"," -82.48468","4.0"," 185","1","u'free'"," 'street': False","False","False","False","True"
"674","CGVpuQ3FpPWyYFQJQlsjLQ","Mole y Abuela","1202 N Franklin St","Tampa","FL","33602","27.95361"," -82.46045","4.0"," 201","0","u'free'"," 'street': True","True","True","True","False"
"711","","","","","","","","","","","","","","","","",""
"716","mLNSOU8Ki0Fm09xd6ZKkcA","Timpano Hyde Park","1610 W Swann Ave","Tampa","FL","33606","27.93704"," -82.47601","3.5"," 380","1","'free'"," 'street': False","True","True","True","False"
"740","Q5odYgHa-ApKOPVrEFmRQA","Centro Cantina","1600 E 8th Ave","Tampa","FL","33605","27.96058"," -82.44157","3.0"," 107","1","u'free'"," 'street': True","True","True","True","False"
"741","11:0-21:0","11:0-22:0","11:0-22:0","11:0-0:0","11:0-0:0","12:0-0:0","","","","","","","","","","",""
"743","12:0-4:0","12:0-4:0","12:0-5:0","12:0-6:0","12:0-6:0","12:0-4:0","","","","","","","","","","",""
"752","eWGdkt9fdwg7aKboaZIVQQ","Uncle Maddios Pizza","3949 Van Dyke Rd","Lutz","FL","33558","28.12790"," -82.50441","4.0"," 103","0","u'free'"," 'street': False","True","True","True","True"
"754","4JQ0hePJAlBepDzb20_32g","Beanie's Bar & Sports Grill","2002 S US Hwy 41","Ruskin","FL","33570","27.70431"," -82.44257","3.5","  80","1","'no'"," 'street': False","True","True","True","True"
"761","cg4JFJcCxRTTMmcg9O9KtA","Ava","718 S Howard Ave","Tampa","FL","33606","27.93624"," -82.48286","3.5"," 544","1","'free'"," 'street': False","True","True","True","True"
"765","","","","","","","","","","","","","","","","",""
"769","-7GjicSH_rM8JeZGCXGcUg","Double Decker","1721 E 7th Ave","Tampa","FL","33605","27.96008"," -82.43984","3.0","  86","1","u'free'"," 'street': False","True","True","True","False"
"770","","","","","","","","","","","","","","","","",""
"798","_O16xyQwp0YSTG2RgweRYA","Luigi's Italian Restaurant","3224 W Gandy Blvd, Ste 3","Tampa","FL","33611","27.89336"," -82.49954","3.5","  37","0","'no'"," 'street': False","True","True","True","True"
"800","_Xo-JzgxbMaDi5cvlfHpwg","Nidia's Latin Grill","14164 574th Hwy","Dover","FL","33527","27.99422"," -82.22025","4.5","  19","1","u'no'"," 'street': False","False","False","True","True"
"825","Dwwt8KwB0iyf86aE4p4vSQ","La Giraldilla","1003 W Hillsborough Ave, Ste 4","Tampa","FL","33603","27.99638"," -82.47220","3.0","  27","1","'no'"," 'street': False","False","True","True","True"
"846","ugSj0rWlWQ57-FuKuieGXA","Tampa Pizza Co - Westchase","9556 W Linebaugh Ave","Tampa","FL","33626","28.04293"," -82.59231","4.0","  81","1","u'free'"," u'garage': False","True","True","True","True"
"849","BVndHaLihEYbr76Z0CMEGw","Mamas Kitchen","5524 S Dale Mabry Hwy","Tampa","FL","33611","27.88485"," -82.50600","4.5"," 162","1","u'free'"," 'street': False","False","True","False","True"
"855","LkskzKzo_S8YmG1dGn4hag","Tijuana Flats","9520 W. Linebaugh Ave.","Tampa","FL","33626","28.04332"," -82.59242","4.0"," 104","1","'free'"," 'street': None","True","True","True","True"
"872","qf4LecJDQWIt0gt6VJWFPw","Frontier Steakhouse","8602 E Sligh Ave","Tampa","FL","33610","28.01143"," -82.36057","3.5","  95","1","'no'"," 'street': False","True","False","True","True"
"891","lZyINQz8hoGZk-WhqXy0Sw","Above The Salt Cafe","428 W Waters Ave","Tampa","FL","33604","28.02505"," -82.46501","5.0","  41","0","u'free'"," 'street': False","False","True","True","True"
"904","","","","","","","","","","","","","","","","",""
"907","","","","","","","","","","","","","","","","",""
"911","11:0-3:0","11:0-3:0","11:0-3:0","11:0-3:0","11:0-3:0","11:0-3:0","","","","","","","","","","",""
"917","aAdGIK9ewmiWtGzIcrQgNA","Gran Agave","5924 Providence Rd","Riverview","FL","33578","27.89444"," -82.31803","3.5"," 214","1","'free'"," 'street': False","True","True","True","True"
"930","kKPJLiHIr9Gd9sYs3GhxDQ","Brick & Mortar","539 Central Ave","Saint Petersburg","FL","33701","27.77135"," -82.64105","4.5"," 421","1","u'no'"," 'street': True","False","True","True","False"
"934","","","","","","","","","","","","","","","","",""
"940","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","","","","","","","","","","",""
"963","8K73iRrUIXcwTB5SKetptQ","Sushi-Haru","3817 Northdale Blvd","Tampa","FL","33624","28.09431"," -82.50411","3.5","  63","0","u'free'"," 'street': False","True","False","True","True"
"970","7EhTT4iEuA7JaaWA-eI3Qw","Seasons Cafe & Bakery","7261 US Hwy 19 N","Pinellas Park","FL","33781","27.83846"," -82.68246","4.0"," 292","0","u'free'"," 'street': False","False","True","False","True"
"975","SCBYAipfLtclqn5psCyIpQ","Applebee's Grill + Bar","4651 Commercial Way","Spring Hill","FL","34606","28.49603"," -82.59603","2.5","  38","1","u'free'"," 'street': None","True","True","True","True"
"976","","","","","","","","","","","","","","","","",""
"978","13:0-0:0","13:0-0:0","12:0-22:0","12:0-2:0","12:0-2:0","12:0-22:0","","","","","","","","","","",""
"989","P_x9fEz8efemqOIV46S0tg","Red Mesa Restaurant","4912 4th St N","St Petersburg","FL","33703","27.81687"," -82.63897","4.0"," 585","1","u'free'"," 'street': False","True","True","True","True"
"1000","1XttS5NTqLxhyNb-Rt2fOQ","Keith's Oaks Bar & Grill","108 Lithia Pinecrest Rd","Brandon","FL","33511","27.93697"," -82.28160","3.0","  93","1","u'free'"," 'street': False","True","True","True","True"
"1008","qa1fGa9u0_awl-A8CinLRg","McAlister's Deli","14444 N Dale Mabry","Tampa","FL","33618","28.07984"," -82.50749","4.0","  72","1","'free'"," 'street': None","False","True","True","True"
"1014","USekrAG0-4tJUs9V2gBBOQ","The Honu","516 Grant St","Dunedin","FL","34698","28.01361"," -82.78525","4.0"," 234","1","u'free'"," 'street': True","True","True","True","True"
"1016","wI51ie-6j7y5MzxOCS4fNA","Tangelo's Grille","3121 Beach Blvd S","Gulfport","FL","33707","27.73818"," -82.70810","4.0"," 121","0","'free'"," 'street': True","False","True","True","True"
"1017","8:30-16:0","8:30-16:0","8:30-21:0","9:0-21:0","9:0-15:0","","","","","","","","","","","",""
"1027","17:0-23:0","17:0-0:0","17:0-0:0","17:0-1:0","16:30-21:30","17:0-22:0","","","","","","","","","","",""
"1048","bjl2Xtm9kCWsCqz0OkS75g","Tapper Pub","3832 Britton Plz","Tampa","FL","33611","27.90753"," -82.50269","4.0","  29","1","'free'"," 'street': None","True","True","True","False"
"1066","ySXKjndttZjNy3kcqRqG3g","Islamorada Fish Company Restaurant","10501 Palm River Rd","Tampa","FL","33619","27.93454"," -82.33322","2.5"," 136","0","u'no'"," 'street': False","True","False","False","True"
"1075","7tN8hIXdQlfc7Lf5OOyjeg","Gator's Dockside - Tampa","5840 E Fowler Ave","Tampa","FL","33617","28.05489"," -82.39058","3.5"," 158","0","u'free'"," 'street': False","True","True","True","True"
"1086","LnQRfj3pPz0369stRnwUWw","Sushi Ushi","1713 State Rd 60 E","Valrico","FL","33594","27.93708"," -82.25909","4.5"," 256","1","u'free'"," 'street': False","True","False","True","True"
"1087","U0ICWpbd1C0GD9SpIv3bSA","Outback Steakhouse","2020 Brandon Blvd, Ste 190","Brandon","FL","33511","27.93847"," -82.31835","3.5"," 165","1","'free'"," 'street': False","True","True","True","True"
"1088","L-YdO_NODKXXT3bkS0nUpg","RumFish Grill","6000 Gulf Blvd","Saint Pete Beach","FL","33706","27.73223"," -82.74645","3.5"," 664","1","u'free'"," 'street': False","True","True","True","True"
"1092","Swjkmg5qAHT6hwXQRWQoHQ","Tampa Bay Brewing Company Westchase","13937 Monroe's Business Park","Tampa","FL","33635","28.03784"," -82.64766","4.0"," 476","1","u'free'"," 'street': True","False","True","True","True"
"1095","wHiPhPVuGnngEieDBMG00g","Mellow Mushroom - Brandon","10959 Causeway Blvd","Brandon","FL","33511","27.92226"," -82.32867","4.0"," 391","1","u'free'"," 'street': True","True","True","True","True"
"1117","lH3tplAcbNrNL0nJoyXCNA","Keke's Breakfast Cafe","13614 Bruce B Downs Blvd","Tampa","FL","33612","28.07146"," -82.42683","4.5"," 163","1","u'free'"," 'street': False","False","False","False","True"
"1126","WWnRdTjwaTnsLSJX95j-Zw","Hablo Taco","615 Channelside Dr, Ste 127, Channelside Bay Plaza","Tampa","FL","33602","27.94305"," -82.44750","3.5"," 268","0","u'free'"," 'street': True","True","True","True","True"
"1127","11:30-22:0","11:30-22:0","11:30-23:0","11:30-0:30","11:30-22:0","","","","","","","","","","","",""
"1130","IjtKwA7njLjTvZr0nFSLeA","Kuba ","7525 Blind Pass Rd","St. Pete Beach","FL","33706","27.74352"," -82.75064","4.0"," 230","1","'free'"," 'street': True","True","True","False","True"
"1143","_Dr8Bnt8us2qyPKayfj-rA","IHOP","4736 US Hwy 19","NEW PORT RICHEY","FL","34652","28.22827"," -82.73109","2.5","  29","1","'free'"," 'street': False","False","False","False","True"
"1146","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","","","","","","","","","","",""
"1157","geMJbmX310M5VYe2f7au8Q","Inside the Box","2002 N Florida Ave","Tampa","FL","33602","27.96339"," -82.45969","4.0","  27","1","u'no'"," 'street': True","False","False","False","True"
"1164","A2TDvUnOgCRKeyWN8V2WGg","WingHouse Bar & Grill","7369 Ulmerton Road","Largo","FL","33771","27.89460"," -82.73995","3.5"," 112","1","'free'"," 'street': False","True","True","True","True"
"1167","UakVMT3xrpbFB2pHdxPjnw","Crown & Bull","319 Main St","Dunedin","FL","34698","28.01170"," -82.78941","3.5"," 668","1","u'free'"," 'street': True","True","True","True","True"
"1185","hnJ_Bt2-Io_Mdf9p1KlprQ","Joto Thai-Sushi Clearwater","2549 Countryside Blvd, Ste 3","Clearwater","FL","33761","28.01263"," -82.73172","3.5","  37","0","'no'"," 'street': False","True","False","False","True"
"1190","sjueAFshWHWkKn5a1AymuQ","District Tavern","116 N 12th St","Tampa","FL","33602","27.94806"," -82.44682","4.0"," 227","1","u'free'"," 'street': True","True","True","True","False"
"1192","31Spe3vCX5fHoA768ZCR9g","Tap's Deli & Brewhouse","5914 Providence Rd","Riverview","FL","33578","27.89473"," -82.31817","3.0","  19","0","'free'"," 'street': False","True","True","True","True"
"1215","qppGA9vCUPfw9ngOy_R90w","Cru Cellars - Palma Ceia","2506 S MacDill Ave","Tampa","FL","33629","27.92275"," -82.49340","4.0"," 184","1","u'free'"," 'street': False","True","True","False","False"
"1220","nVfkNZLElDdhqWcnaDPtPQ","Ruby Tuesday","10509 Gibsonton Drive","Riverview","FL","33578","27.85644"," -82.33024","2.5"," 108","1","u'free'"," 'street': False","True","True","True","True"
"1261","dPfxNIJeHLKpny0GKtAsXg","Estela's Mexican Restaurant","10478 Roosevelt Blvd","Saint Petersburg","FL","33702","27.86635"," -82.64239","2.5","  34","0","u'no'"," 'street': False","True","True","True","True"
"1265","15:0-3:0","15:0-3:0","18:0-3:0","15:0-3:0","12:0-3:0","12:0-3:0","","","","","","","","","","",""
"1267","","","","","","","","","","","","","","","","",""
"1276","m14o43aOPMR5Z8MhDi8wVw","Hooters","2250 Tyrone Sq","St. Petersburg","FL","33710","27.79297"," -82.73424","2.5","  61","0","'free'"," 'street': False","True","True","True","True"
"1280","R4eAWOt6Kz_rmo8B9FyG8g","Steak ’n Shake","16201 N Dale Mabry Hwy","Tampa","FL","33618","28.09988"," -82.50165","2.0","  77","0","'free'"," 'street': False","True","False","False","True"
"1292","11:0-2:0","11:0-2:0","11:0-2:0","11:0-3:0","11:0-3:0","11:0-0:0","","","","","","","","","","",""
"1301","11:0-3:0","11:0-3:0","11:0-3:0","11:0-3:0","11:0-3:0","11:0-3:0","","","","","","","","","","",""
"1302","TV81bpCQ6p6o4Hau5hk-zw","Hellas Restaurant","785 Dodecanese Blvd","Tarpon Springs","FL","34689","28.15539"," -82.76187","4.5","1368","1","u'no'"," 'street': True","False","True","True","True"
"1318","M4pf66QgBEu45FF_ivqk7g","Pacific Counter","660 Central Ave","Saint Petersburg","FL","33701","27.77093"," -82.64280","4.5"," 410","1","u'free'"," 'street': True","True","True","True","True"
"1349","MyON48Q_Ql9IjLc0PPXLDQ","Moe's Southwest Grill","2543 N Dale Mabry Hwy","Tampa","FL","33607","27.96401"," -82.50427","2.5","  64","1","'no'"," 'street': False","True","True","True","True"
"1364","gKPWC7F219oEbu5NXPzH4g","Sam's Beach Bar","6325 Clark St","Hudson","FL","34667","28.36194"," -82.71034","3.5"," 555","1","'free'"," 'street': True","True","True","True","True"
"1368","QlI4_BHwxb5UplGwd4vE0w","Fiesta Taqueria","1479 Belcher Rd, Ste B","Largo","FL","33771","27.90354"," -82.74570","4.5"," 123","1","'no'"," 'street': False","False","False","True","True"
"1373","BjBDHqHhMXSxgyVipccznQ","Rusty Pelican - Tampa","2425 Rocky Point Dr","Tampa","FL","33607","27.96226"," -82.56999","4.0"," 745","1","u'free'"," 'street': False","True","False","True","True"
"1377","TSkZWzfBuBr224eBMczZ_g","Stacie's Cottage Cafe","501 1st Ave N","Saint Petersburg","FL","33701","27.77251"," -82.64054","4.0","  27","1","u'free'"," 'street': True","False","True","True","True"
"1385","fa6InRseC0Uxnt5d90E3LQ","Trophy Fish","2060 Central Ave","Saint Petersburg","FL","33712","27.77086"," -82.66148","4.0"," 167","1","'no'"," u'garage': None","True","True","True","False"
"1389","hKameFsaXh9g8WQbv593UA","Aquafinz","16553 Pointe Village Dr","Lutz","FL","33558","28.19002"," -82.54043","3.5","  86","0","u'free'"," 'street': False","True","False","True","True"
"1397","rdiB9Aye9-gkwd2hnckWHQ","Tsunami Sushi & Hibachi Grill","2020 Badlands Dr","Brandon","FL","33511","27.92715"," -82.31525","4.0"," 185","1","u'no'"," 'street': False","True","False","True","True"
"1409","lZEYIL95hZsZS0vgaoR2aQ","Pizza Fusion at Skypoint","777 N Ashley Dr","Tampa","FL","33602","27.94985"," -82.46019","3.5"," 113","0","u'free'"," 'street': True","True","True","True","True"
"1419","o2sdqQ7e4IzeBWxUo_-tFQ","Saigon Bowl","2129 Drew St","Clearwater","FL","33765","27.96737"," -82.74922","4.5"," 159","1","u'no'"," 'street': False","False","None","False","True"
"1423","GWUkk9aKgvE4iRbDmJtuVw","Mo' Ziki","10801 Starkey Rd","Largo","FL","33777","27.87178"," -82.76026","4.0","  23","0","u'no'"," 'street': False","True","False","True","True"
"1427","T4-vocFpzwlIxAQIi22FFA","Another Broken Egg Cafe","470 Poinsettia Ave","Clearwater Beach","FL","33767","27.98128"," -82.82624","4.5"," 511","1","'free'"," 'street': True","False","True","True","True"
"1433","JtaWVKpvSvEUNOzOW6xFAA","Rum Runners","2706 US-19 ALT","Palm Harbor","FL","34683","28.09324"," -82.77080","2.5","  20","1","'free'"," 'street': False","True","False","True","False"
"1442","V8H6z5ulGJEkaFUyRfmLKw","Sculley's Waterfront Restaurant","190 Boardwalk Pl E","Madeira Beach","FL","33708","27.78556"," -82.78125","2.5"," 355","1","u'free'"," 'street': True","False","True","False","True"
"1443","D9p7-HsY9llYP3BaCVg4DA","Cafe Soleil","4695 Gulf Blvd","St. Pete Beach","FL","33706","27.72342"," -82.73929","5.0"," 468","1","'free'"," 'street': False","False","True","True","True"
"1467","o3RGMdSY37_PX1k1vZsXpA","Cafe Ponte","13505 Icot Blvd, Ste 214","Clearwater","FL","33760","27.89485"," -82.71370","4.5"," 541","0","u'free'"," 'street': False","False","True","False","False"
"1478","2tg6sMQr9rrXVXmgrqBYmg","Cody's Original Roadhouse","11270 4th St N","Saint Petersburg","FL","33716","27.87437"," -82.64022","3.0","  79","0","'free'"," 'street': False","True","False","True","True"
"1487","gT69S0R0gpmxwjCLznwT4A","Gio's","3621 W Waters Ave","Tampa","FL","33614","28.02747"," -82.50143","4.0","  95","1","u'free'"," 'street': False","True","True","False","False"
"1501","Sw7qcWQ5_iOUjBZMhSxyOQ","Ted Peter's Famous Smoked Fish","1350 Pasadena Ave S","South Pasadena","FL","33707","27.75541"," -82.73560","4.0"," 480","1","u'no'"," 'street': False","False","True","True","True"
"1503","aktzDUTYcNrXnJNXTIVgRQ","Kelly Days Firehouse Tavern","1710 E 7th Ave","Tampa","FL","33605","27.96048"," -82.44008","3.5","  41","0","u'free'"," 'street': True","True","True","True","True"
"1508","rkem6aEo3vAG2VufybdwuA","Outback Steakhouse","3403 Henderson Blvd","Tampa","FL","33609","27.93931"," -82.50040","3.5"," 159","1","'free'"," 'street': False","True","False","True","True"
"1519","1IjHo5kaSdFxJkJotU4O7A","Sociale Italian Tapas & Pizza Bar","5427 Bayshore Blvd","Tampa","FL","33611","27.88443"," -82.48627","4.0"," 125","0","u'free'"," 'street': False","True","True","True","False"
"1526","12:0-22:0","12:0-0:0","12:0-0:0","12:0-1:0","12:0-1:0","12:0-19:0","","","","","","","","","","",""
"1545","18:0-3:0","18:0-3:0","18:0-3:0","18:0-3:0","18:0-3:0","18:0-3:0","","","","","","","","","","",""
"1549","W78GCXLuneV5b6prO-X4aw","Tace Lounge New Orleans Cuisine & Jazz","14380 N Dale Mabry Hwy","Tampa","FL","33618","28.07832"," -82.50761","2.5","  77","0","'no'"," 'street': False","True","True","True","True"
"1550","17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","10:0-15:0","","","","","","","","","","","",""
"1566","radib3GHt_Up9-zhUjM1ew","Red Robin Gourmet Burgers and Brews","27001 US Hwy 19 N, Ste 1130","Clearwater","FL","33761","28.01669"," -82.73467","3.5"," 175","1","u'no'"," 'street': False","True","True","True","True"
"1568","19:0-4:0","19:0-4:0","19:0-4:0","19:0-6:0","19:0-6:0","19:0-4:0","","","","","","","","","","",""
