"business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.ByAppointmentOnly","attributes.BusinessAcceptsCreditCards","attributes.BikeParking","attributes.RestaurantsPriceRange2","attributes.CoatCheck","attributes.RestaurantsTakeOut","attributes.RestaurantsDelivery","attributes.Caters","attributes.WiFi","attributes.BusinessParking","attributes.WheelchairAccessible","attributes.HappyHour","attributes.OutdoorSeating","attributes.HasTV","attributes.RestaurantsReservations","attributes.DogsAllowed","attributes.Alcohol","attributes.GoodForKids","attributes.RestaurantsAttire","attributes.Ambience","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.DriveThru","attributes.NoiseLevel","attributes.GoodForMeal","attributes.BusinessAcceptsBitcoin","attributes.Smoking","attributes.Music","attributes.GoodForDancing","attributes.AcceptsInsurance","attributes.BestNights","attributes.BYOB","attributes.Corkage","attributes.BYOBCorkage","attributes.HairSpecializesIn","attributes.Open24Hours","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions"
"zPmSsAdvoBbo94msaYCLYg","Chopstix","1441 E Fletcher Ave","Tampa","FL","33612","28.06885"," -82.44375","3.0","  32","0","False","True","True","1","False","True","True","False","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","False","True",NA,"u'beer_and_wine'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': True}",NA,"True",NA,"u'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': True"
"l4N93cZPMrtCSIBYT5Vk5A","China King","5332 Little Rd","New Port Richey","FL","34655","28.23734"," -82.66868","3.0","  20","1","False","True","False","1","False","True","False","False","'no'","False","False","False","False","False","False","False","False","True","'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ehKY9vtzBULm68aTHzVP9A","China Sea","30611 US Highway 19 N","Palm Harbor","FL","34684","28.05116"," -82.73854","3.0","   9","0","False","True","True","1","False","True","True","False","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","False","False",NA,"u'none'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"True",NA,"u'average'",NA,NA,NA
"peL7F35gY6nXuXDD-08LAA","Asian Kitchen","30611 US Hwy 19 N","Palm Harbor","FL","34684","28.05128"," -82.73621","4.0","  51","1","False","True","True","1","False","True","None","False","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","False","False",NA,NA,"True","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,"False",NA,NA,"{'dessert': False"," 'latenight': False"," 'lunch': False"
"BAX4H5m3_8AFnNNjX-F6jw","China House","3978 W Hillsborough Ave","Tampa","FL","33614","27.99596"," -82.50885","2.5","   8","1","False","True","False","1","False","True","True","True","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"'none'","True","'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}","False","True",NA,"'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': False"
"9XMPek9GZ4KAf2sbCBRAKw","Far East Chinese Restaurant","5022 E 10th Ave","Tampa","FL","33619","27.96449"," -82.40088","4.5","  27","1","False","True","False","1","False","True","True","False","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"'none'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"True",NA,"'average'",NA,NA,NA
"ovLgaPIMrx7PDZPrEpTMvg","Mei's World Pizza","2592 E Bearss Ave","Tampa","FL","33613","28.08076"," -82.43190","4.5"," 117","1","False","True","False","1","False","True","False","False","u'free'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","True","True","False","u'none'","True","u'casual'","{u'divey': None"," u'hipster': False"," u'casual': True"," u'touristy': False"," u'trendy': False"," u'intimate': False"," u'romantic': False"," u'classy': False"," u'upscale': False}",NA,"True",NA,"u'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': True"
"iWyX_hezq_Ga9x5WnN4S5Q","China Gate Take Out Restaurant","14957 N Florida Ave","Tampa","FL","33613","28.08652"," -82.45913","2.5","  14","1","False","True","False","2","False","True","False","False","'no'","{'garage': True"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","True","False","True","False","True","True","u'none'","False","u'casual'","None","False","False",NA,"'loud'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tXZXimXWvx-jF6UVgjE3Og","China Gate Restaurant","11336 Ridge Rd","New Port Richey","FL","34654","28.27379"," -82.62790","3.0","  15","1","False","True","False","1","False","True","True","False","False","False","False","False","False","False","False","False","False","True","'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,NA,NA,"u'average'",NA,NA,NA,NA,NA,NA,NA
"0cg8BdPanf-DAA8AYuk6Zg","China Chef","11440 US-301","Riverview","FL","33569","27.83426"," -82.32672","3.5","  33","1","False","True","False","0","False","True","True","False","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","False","False",NA,"u'none'",NA,NA,"{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,"False",NA,NA,"{'dessert': False"," 'latenight': False"," 'lunch': False"
"aNsZYqke7GYx8xyYO8a5OQ","China Garden","1427 Kass Cir","Spring Hill","FL","34606","28.45249"," -82.59234","4.0","  22","1","False","False","False","0","False","True","True","False","False","False","False","False","False","True","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jT8tEryYV9JznR2beI4Vtw","China Taste","1539 Main St","Dunedin","FL","34698","28.02422"," -82.77315","3.0","  19","0","False","True","True","1","False","True","True","False","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","False","False",NA,"u'none'","True","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,"False",NA,"u'quiet'",NA,NA,NA
"wA7v8fiuWZ4qOW12HAVcGg","Grand China","6168 Gunn Hwy","Tampa","FL","33625","28.06359"," -82.55113","3.5","  19","1","False","True","False","1","False","True","False","False","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,NA,"True","'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,"False",NA,NA,"{'dessert': False"," 'latenight': False"," 'lunch': False"
"LMY6MT2btyp6q3eXWB2LMA","China Wok","8813 Mitchell Blvd","New Port Richey","FL","34655","28.18805"," -82.66890","4.0","  44","1","False","True","True","2","False","True","False","False","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"'none'","True","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,"False",NA,NA,NA,NA,NA
"uPQDMKhZWeTj2FAGdeNtYw","China Chen Restaurant","4880 Sun City Center Blvd","Sun City Center","FL","33573","27.71456"," -82.33588","3.0","  21","1","False","True","False","1","False","True","False","False","u'no'","{'garage': False"," 'street': True"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","False","True",NA,"u'none'","True","'casual'","{'touristy': None"," 'hipster': False"," 'romantic': None"," 'divey': False"," 'intimate': None"," 'trendy': None"," 'upscale': None"," 'classy': None"," 'casual': None}",NA,"False",NA,"u'average'","{'dessert': False"," 'latenight': False"," 'lunch': False"
"U8YI5k4c392EmPY7NsRZZg","China Kitchen","11198 Spring Hill Dr","Spring Hill","FL","34609","28.46083"," -82.53809","4.0","  20","1","False","True","True","1","False","True","True","False","'no'","None","False","False","False","True","False","False","'none'","True","u'casual'","None",NA,"True",NA,"u'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': False"," 'dinner': False"," 'brunch': False"," 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"KVwQkBd8tJCDVc8O6_tMOg","Big Bok Choy Bistro","3730 Tampa Rd","Oldsmar","FL","34677","28.04333"," -82.67951","4.0","  30","0","False","True","True","2","False","True","False","True","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","False","True",NA,"u'beer_and_wine'","True","u'casual'","{'romantic': False"," 'intimate': True"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"True",NA,"u'quiet'",NA,NA,NA
"r13BI8s7vx6KP6_i6L6ZRw","China 88","1969 Sunset Point Rd, Ste 4","Clearwater","FL","33765","27.98958"," -82.75653","4.0","  16","1","False","True","False","0","False","True","True","False","u'no'","False","True","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RnqU698MbIjq_eZHEzYL6g","Top China","3810 W Neptune St","Tampa","FL","33629","27.92976"," -82.50657","3.0","  43","1","False","True","True","1","False","True","True","True","u'free'","{u'valet': False"," u'garage': False"," u'street': None"," u'lot': True"," u'validated': False}","False","False","False","True","True",NA,"u'none'","True","'casual'","{'touristy': None"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': None"," 'upscale': False"," 'classy': False"," 'casual': True}","False","True",NA,"u'quiet'","{u'breakfast': None"," u'brunch': False"," u'lunch': True"
"kZltoFDBM8GLMSGCtj3EVw","House of China","18463 N US Hwy 41","Lutz","FL","33549","28.14122"," -82.46151","4.5","  48","1","False","True","True","1","False","True","False","False","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': None"," 'valet': False}","False","False","False","True","False",NA,"u'none'","True","u'casual'","{'touristy': False"," 'hipster': None"," 'romantic': False"," 'divey': None"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': True}","True","False",NA,"u'average'","{'dessert': False"," 'latenight': False"," 'lunch': None"
"E34saIsYxyuKSJhWwmlb0Q","New Far East Chinese Rest","5527 S 78th St","Tampa","FL","33619","27.89831"," -82.36990","4.0","  26","1","False","True","False","1","False","True","False","False","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"'none'","True","'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"True",NA,"'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': False"
"UX7mhQ7zubpAlboAcP0FCQ","Great Wall","3153 4th St N","Saint Petersburg","FL","33704","27.80093"," -82.63772","2.5","  39","1","False","True","True","1","False","True","True","False","False","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","True","False",NA,NA,"True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"False",NA,NA,NA,NA,NA
"lsgslT1Ho5FsFLSeCJW3fw","Hong Kong City","2198 NE Coachman Rd","Clearwater","FL","33765","27.97248"," -82.74669","3.5","  27","1","False","True","False","1","False","True","True","True","u'free'","None","False","False","False","False","False","False","u'none'","False","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': True"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,"False",NA,"u'quiet'",NA,NA,NA,NA,NA,NA,NA
"Wf-TBQspZjvPW-ye5J4GNA","China King","9394 Oakhurst Rd","Seminole","FL","33776","27.85816"," -82.83234","3.5","  21","1","False","True","True","2","False","True","True","False","'no'","{u'valet': False"," u'garage': False"," u'street': None"," u'lot': None"," u'validated': None}","False","False","True","True","False","False","'none'","False","'casual'","{u'divey': None"," u'hipster': False"," u'casual': True"," u'touristy': False"," u'trendy': None"," u'intimate': False"," u'romantic': False"," u'classy': None"," u'upscale': False}","False","False",NA,"u'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': False"
"ZXVt7UdbQDK_bl9SoybwFw","Fried Rice King","6117 N Florida Ave","Tampa","FL","33604","28.00296"," -82.45911","3.5","  20","1","False","False","False","0","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"loAb0KBG_wnUclXqfVX9-Q","Taiwan Express Chinese Restaurant","11022 US Hwy 41 S","Gibsonton","FL","33534","27.84087"," -82.38070","4.0","  33","1","False","True","False","1","False","True","True","False","u'free'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","True","False","False","True","True",NA,"u'none'","True","'casual'","{u'divey': True"," u'hipster': False"," u'casual': True"," u'touristy': None"," u'trendy': None"," u'intimate': None"," u'romantic': None"," u'classy': None"," u'upscale': False}",NA,"True",NA,NA,"{'dessert': False"," 'latenight': False"," 'lunch': False"
"iI9Ol4rFhhEne130nCmAHQ","Golden Bowl","3447 Lithia Pinecrest Rd","Valrico","FL","33594","27.89268"," -82.24191","3.5","  47","1","False","True","True","1","False","True","False","False","'no'","{u'valet': False"," u'garage': False"," u'street': None"," u'lot': None"," u'validated': None}","False","False","False","True","False",NA,"u'none'","True","u'casual'","{u'divey': None"," u'hipster': False"," u'casual': True"," u'touristy': False"," u'trendy': False"," u'intimate': None"," u'romantic': False"," u'classy': False"," u'upscale': False}",NA,"True",NA,"u'quiet'",NA,NA,NA
"JzQsy7_G0p-UZGYFMCEHvQ","Yummy House South","302 N Dale Mabry Hwy","Tampa","FL","33609","27.94784"," -82.50602","3.5"," 343","1","False","True","True","2","False","None","None","True","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","None","True","True","False","'none'","True","'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': True"," 'casual': True}","True","True",NA,"'average'","{'dessert': False"," 'latenight': None"," 'lunch': True"
"9cu2p2Z925hHkWHVyrp1JQ","Hawkers Asian Street Food","1235 Central Ave","St. Petersburg","FL","33705","27.77133"," -82.65159","4.0","1202","1","False","True","True","2","False","True","True","True","u'free'","{'garage': False"," 'street': True"," 'validated': False"," 'lot': True"," 'valet': False}","True","True","True","True","False","True","u'full_bar'","True","'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': True"," 'upscale': False"," 'classy': True"," 'casual': True}","True","True","False","'average'","{'dessert': None"," 'latenight': None"," 'lunch': True"
"KJJm3Qwmqd5r37hIYQ0MOw","Good Fortune Buffet","1030 58th St N","St. Petersburg","FL","33710","27.78203"," -82.71228","2.0","  21","0","False","True","False","1","False","True","False","False","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","True","False",NA,"u'none'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': True}",NA,"True",NA,"u'average'",NA,NA,NA
"q7iYCBUaBBDSlk3-1c6f7A","Panda Express","1251 East Brandon Blvd","Brandon","FL","33511","27.93715"," -82.26380","2.5","  24","1","False","True","False","2","False","True","True","True","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': True"," 'valet': False}","False","False","False","True","False",NA,"'none'","True","'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': False}",NA,"True","True","'quiet'",NA,NA,NA
"1PMlvTeQr3BpTm6GqOEckQ","Panda Express","4200 George J. Bean Parkway, Terminal E","Tampa","FL","33607","27.97615"," -82.53211","2.5","   7","1","False","False","False","0","False","True","True","True","False","False","False","False","False","True","False","False","False","False","False","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA
"x09a9Qf1szbwBbamf4SUZA","PF Chang's","4100 George J Bean Pkwy","Tampa","FL","33607","27.97977"," -82.53394","3.5"," 100","1","False","True","False","2","False","True","True","False","'free'","{'garage': True"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","True","True","True","False","False","'full_bar'","True","'casual'","{u'divey': False"," u'hipster': None"," u'casual': True"," u'touristy': True"," u'trendy': None"," u'intimate': False"," u'romantic': False"," u'classy': None"," u'upscale': None}","True","True",NA,"'average'","{'dessert': True"," 'latenight': None"," 'lunch': True"
"4D0CQDOL-mhAG-UmkBIvaA","Taste Good","11065 Spring Hill Dr","Spring Hill","FL","34608","28.46185"," -82.54148","3.0","  33","1","False","True","True","1","False","True","True","True","u'no'","{u'valet': False"," u'garage': False"," u'street': False"," u'lot': True"," u'validated': False}","False","False","False","True","False",NA,"u'none'","True","u'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}",NA,"False",NA,"u'average'",NA,NA,NA
"a7dnu3RVo9BHmg1Nzwfw5w","Chinese Gourmet Express","225 Westshore Plz","Tampa","FL","33609","27.94689"," -82.52752","3.5","   5","1","False","False","False","0","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kRXDUhXtEszGHE2Cy6kpYA","Happi Wok","1252 County Rd 1","Dunedin","FL","34698","28.02096"," -82.76468","3.0","  22","1","False","True","True","2","False","True","True","False","u'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","False","True","False",NA,"u'none'","True","'casual'","{'touristy': False"," 'hipster': False"," 'romantic': False"," 'divey': False"," 'intimate': False"," 'trendy': False"," 'upscale': False"," 'classy': False"," 'casual': False}","True","False",NA,"u'quiet'","None",NA,NA
"ODDI69ybcJsZbQkW-DIN_w","Oriental Express Chinese Sushi Restaurant","510 E Jackson St","Tampa","FL","33602","27.94788"," -82.45531","2.5","  44","1","False","True","False","1","False","True","True","False","u'no'","{'garage': False"," 'street': True"," 'validated': False"," 'lot': False"," 'valet': False}","False","False","True","False","False",NA,"u'none'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'touristy': False"," 'hipster': False"," 'divey': False"," 'classy': False"," 'trendy': False"," 'upscale': False"," 'casual': True}",NA,"True",NA,"u'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': True"
"fwiASZN3eQ_g5lGQZKPkYA","Cyber Takee Outee","12807 W Hillsbrough Ave","Tampa","FL","33635","28.02979"," -82.63802","3.5","  39","0","False","True","True","1","False","True","True","True","'no'","{'garage': False"," 'street': False"," 'validated': False"," 'lot': False"," 'valet': False}","True","False","False","True","False",NA,"'none'","True","u'casual'","{'romantic': False"," 'intimate': False"," 'classy': False"," 'hipster': False"," 'divey': False"," 'touristy': False"," 'trendy': False"," 'upscale': False"," 'casual': True}","False","True",NA,"'quiet'","{'dessert': False"," 'latenight': False"," 'lunch': True"
"yGTr-8aFWA1FDXiO1l86yA","China Express","1250 Seminole Blvd, Ste 5","Largo","FL","33770","27.90445"," -82.78776","1.5","   6","1","False","True","False","1","False","True","True","False","False","False","False","False","False","False","False","False","False","True","u'casual'",NA,NA,"True",NA,"u'quiet'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VJT7VQTncH86sFQLqW4THg","China Express","1159 S Pinellas Ave","Tarpon Springs","FL","34689","28.13673"," -82.75707","3.0","  17","1","False","True","False","3","False","True","True","False","'no'","False","False","False","False","True","False","False","False","True","False",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BF7DTtyfjDmwwgGV35uW9Q","Kyoto Palace","214 W Alexander St","Plant City","FL","33563","27.99020"," -82.12297","4.5","  28","1","False","True","True","2","False","True","True","True","u'free'","{u'valet': False"," u'garage': False"," u'street': False"," u'lot': True"," u'validated': False}","True","False","False","True","True","False","u'beer_and_wine'",NA,NA,"{u'divey': None"," u'hipster': None"," u'casual': None"," u'touristy': False"," u'trendy': None"," u'intimate': None"," u'romantic': None"," u'classy': None"," u'upscale': None}","True",NA,"False",NA,NA,NA,NA
